zone I=    21   J=    11  F=POINT
       0.377       4.785    -100.000
       0.000       4.800    -100.000
       4.550       0.000    -100.000
       4.536       0.357    -100.000
       4.494       0.712    -100.000
       4.424       1.062    -100.000
       4.327       1.406    -100.000
       4.204       1.741    -100.000
       4.054       2.066    -100.000
       3.880       2.377    -100.000
       3.681       2.674    -100.000
       3.460       2.955    -100.000
       3.217       3.217    -100.000
       2.955       3.460    -100.000
       2.674       3.681    -100.000
       2.377       3.880    -100.000
       2.066       4.054    -100.000
       1.741       4.204    -100.000
       1.406       4.327    -100.000
       1.062       4.424    -100.000
       0.712       4.494    -100.000
       0.357       4.536    -100.000
       0.000       4.550    -100.000
       4.200       0.000    -100.000
       4.187       0.330    -100.000
       4.148       0.657    -100.000
       4.084       0.980    -100.000
       3.994       1.298    -100.000
       3.880       1.607    -100.000
       3.742       1.907    -100.000
       3.581       2.194    -100.000
       3.398       2.469    -100.000
       3.194       2.728    -100.000
       2.970       2.970    -100.000
       2.728       3.194    -100.000
       2.469       3.398    -100.000
       2.194       3.581    -100.000
       1.907       3.742    -100.000
       1.607       3.880    -100.000
       1.298       3.994    -100.000
       0.980       4.084    -100.000
       0.657       4.148    -100.000
       0.330       4.187    -100.000
       0.000       4.200    -100.000
       3.750       0.000    -100.000
       3.738       0.294    -100.000
       3.704       0.587    -100.000
       3.646       0.875    -100.000
       3.566       1.159    -100.000
       3.465       1.435    -100.000
       3.341       1.702    -100.000
       3.197       1.959    -100.000
       3.034       2.204    -100.000
       2.852       2.435    -100.000
       2.652       2.652    -100.000
       2.435       2.852    -100.000
       2.204       3.034    -100.000
       1.959       3.197    -100.000
       1.702       3.341    -100.000
       1.435       3.465    -100.000
       1.159       3.566    -100.000
       0.875       3.646    -100.000
       0.587       3.704    -100.000
       0.294       3.738    -100.000
       0.000       3.750    -100.000
       3.200       0.000    -100.000
       3.190       0.251    -100.000
       3.161       0.501    -100.000
       3.112       0.747    -100.000
       3.043       0.989    -100.000
       2.956       1.225    -100.000
       2.851       1.453    -100.000
       2.728       1.672    -100.000
       2.589       1.881    -100.000
       2.433       2.078    -100.000
       2.263       2.263    -100.000
       2.078       2.433    -100.000
       1.881       2.589    -100.000
       1.672       2.728    -100.000
       1.453       2.851    -100.000
       1.225       2.956    -100.000
